,time,geo,contribution_x1_TV,contribution_x2_OOH,contribution_x3_Radio,contribution_x4_Podcast,contribution_x5_Video,contribution_x6_Social-Paid,contribution_x7_Social-Organic,contribution_x8_Display,contribution_x9_Programmatic,contribution_x10_Native-Ads,contribution_x11_Paid-Search,contribution_x12_Brand-Search,contribution_x13_Shopping-Ads,contribution_x14_Retargeting,contribution_x15_Affiliate,contribution_x16_CTV,contribution_x17_Streaming-Audio,contribution_x18_Influencer,contribution_x19_Email,contribution_x20_Push-Notif
0,2020-01-05,national,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11650.385264611406,9268.448194901057,740.7997041189017,0.0,0.0,3732.620709782062,23283.5491211851,0.0,0.0,0.0,9619.324425422998,9677.582516854081,0.0
1,2020-01-12,national,3572.527403235029,0.0,9907.121201503322,0.0,1683.9502155947428,7076.90700101527,1960.5733202915746,12653.517126356497,10121.582399470915,424.43533238682596,6742.083744923387,0.0,25549.43163455097,25070.4612139924,2852.3942195482045,0.0,1757.2791998259922,10919.199667161134,4793.126133940457,13793.573599925954
2,2020-01-19,national,2649.327669909014,0.0,7533.058528442108,1946.0497180709988,1116.502544985556,5016.444369662341,2075.4830165840567,12762.777428218571,10350.849418087977,240.72398694629163,7132.971201601577,0.0,25241.327888982996,25791.324185408514,1476.6360068274503,0.0,2318.533795826179,11816.683025157887,11595.433295180359,14786.389363387494
3,2020-01-26,national,1953.448505921197,0.0,7158.3370950457775,4856.673399289339,6242.089599419909,3169.614325256244,1851.5813399272104,12948.54795001284,10092.901014507872,3296.5646095599154,10969.438556593464,0.0,21946.33879676117,26660.026185136197,4757.3399709677615,0.0,2746.671197828003,11634.229573106371,6072.830776513112,14923.548092745315
4,2020-02-02,national,2410.332348689645,0.0,7035.924849912008,5344.247851273677,9956.531994452336,1943.9187490830852,4138.978879408936,13051.539384593743,10342.623887949536,4431.328697734209,12730.192803375427,141.59983649748298,17768.18710890373,23989.244562559154,2569.384289512419,0.0,2034.3771885791075,8782.8513981837,4781.962757530244,15050.708244758216
5,2020-02-09,national,1774.597872674859,0.0,5008.465995192957,5034.730331567364,12184.92912317382,1169.4204575636709,6199.294707345432,10229.592881877294,10394.802842906336,4563.899153314501,17565.32954877567,73.50371336939499,13377.221403692733,25615.122966777,5139.874566917224,0.0,1294.353469900368,12415.009722550974,2550.5445104735786,14980.644135438853
6,2020-02-16,national,1301.4170853845249,0.0,3411.4960897272,5063.232802054123,13689.884399198492,695.1056042167567,7498.280488948259,12293.970416419923,10353.825609681482,4106.279852693176,20730.44573129203,38.11957068143745,9380.428728786212,26215.08182933407,4645.264646217012,3233.0669679417383,802.8693664264022,10719.752193227083,1051.0922104902127,15142.978821449544
7,2020-02-23,national,951.6280777578679,0.0,2247.3919733557527,3976.2202544301626,12835.862864449135,410.1751141586599,8340.011006957384,12586.832449702311,7795.827279496431,4933.207235137719,25293.99790386917,19.75945526616507,6191.166662819666,26499.790868814853,7063.952127187706,5004.056579631729,489.85047783741965,12627.431133710563,418.37813993330616,15176.898379044509
8,2020-03-01,national,694.3599091259123,0.0,1445.8916596602967,4662.221076972195,12309.348194478413,240.9903233053529,7967.840944886795,12709.320752139336,9913.719389348826,4112.010538736863,25792.427754255514,10.239814763552957,3861.292489034971,26699.304220242466,10188.357903084754,5035.343138317612,295.78393601260996,12638.715035823894,159.22583162944179,15152.254563156333
9,2020-03-08,national,249.12116478820025,0.0,726.4372494840377,3097.6612571493924,10458.852428176386,18.339012908676068,7504.907270327538,12663.960588113669,10322.771360144017,4943.016031172315,21007.00917920344,5.305817349786079,1010.4809909470259,26595.441088156484,11891.567478536435,5732.277156197492,171.56309913564232,12565.02490776939,62.117582968051764,11473.008448373574
10,2020-03-15,national,180.99206392067802,0.0,453.5069588566709,2330.518895687206,7771.777122724767,0.0,6433.59936014898,12490.742000291568,7759.266079924686,4976.494898649294,21361.408568453113,2.7490521782058686,44.863951375797015,23867.353548808696,13098.380953206004,7069.257117060497,1704.9159367178129,12326.80285100654,16.213585848078026,14196.844652963162
11,2020-03-22,national,131.440033330702,0.0,215.31213127146341,1433.52939733718,5403.621481499571,0.0,4803.2733133111415,12957.160082939787,9107.991318649561,5272.811557818561,22839.88935937582,1.4242898542038418,0.0,25043.63738874765,13267.786626717412,6683.236685091856,2188.4408492472794,12732.4926690064,6.305170839439878,14779.594968444515
12,2020-03-29,national,0.0,0.0,0.0,853.4146623019761,7615.792298171072,0.0,3265.488745610657,12982.092481483513,9549.597370463853,4608.320641024135,18719.499492369927,0.0,0.0,25755.979484397878,11410.174189365118,6200.102922167989,3500.81522453132,10074.232113170245,0.9619127760673863,15096.282474124457
13,2020-04-05,national,0.0,0.0,0.0,495.72424790728707,11197.296859937347,0.0,4370.853185239579,12656.38662255443,10276.815817208633,5093.676390543302,22257.047028256355,0.0,0.0,26540.31975374619,12212.841039929723,5191.056690545833,4000.696040797437,12205.17390542436,0.0,14800.967543744573
14,2020-04-12,national,0.0,0.0,0.0,274.5273387740377,10980.073649968417,0.0,6579.709472790467,9731.542301157362,7705.931547024677,5008.505887890656,18884.794571669026,0.0,0.0,26337.403217628424,10216.00808440892,3847.8045554191654,3517.0955930344708,12512.6857728871,0.0,14847.090663566694
15,2020-04-19,national,0.0,0.0,0.0,153.32424020351786,8082.9262154748585,0.0,6893.163696544334,12448.195177365518,9964.91773258444,5092.058161492798,15990.704783545449,0.0,0.0,26112.694798004115,12633.16564694476,4655.092584811813,3058.261333714672,13027.619537204644,0.0,14945.041894814234
