,time,geo,contribution_x1_linear-0,contribution_x2_linear-1,contribution_x3_linear-2,contribution_x4_linear-3,contribution_x5_linear-4,contribution_x6_linear-5,contribution_x7_linear-6,contribution_x8_linear-7,contribution_x9_linear-8,contribution_x10_linear-9,contribution_x11_delayed-start-0,contribution_x12_delayed-start-1,contribution_x13_delayed-start-2,contribution_x14_delayed-start-3,contribution_x15_delayed-start-4,contribution_x16_seasonal-0,contribution_x17_seasonal-1,contribution_x18_seasonal-2,contribution_x19_seasonal-3,contribution_x20_seasonal-4,contribution_x21_on-off-0,contribution_x22_on-off-1,contribution_x23_on-off-2,contribution_x24_on-off-3,contribution_x25_on-off-4,contribution_x26_on-off-5,contribution_x27_on-off-6,contribution_x28_on-off-7,contribution_x29_on-off-8,contribution_x30_on-off-9
0,2020-01-05,geo_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.285613209488595,692.9367144271727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5619.879185310962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-01-12,geo_1,1219.3237489654553,0.0,641.363971912463,0.0,1570.8240614034169,12.17823737189551,97.36137813317517,0.0,1.8216694839779803,230.09782366965118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.110065839375816,5358.281425711201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4700.413521531209,0.0,0.0,0.0
2,2020-01-19,geo_1,857.8682453608219,0.0,178.14791980527096,27.789326748205077,557.6507293119827,1.2016260506054817,0.0030961201923420507,0.0,14.511591968953118,75.07658423094848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4939006386706494,5100.854992471502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2435.470997148411,0.0,0.0,0.0
3,2020-01-26,geo_1,596.0219429173712,0.0,257.7692051010437,805.1159060398866,3511.316722435756,0.04091948306711127,53.4962993653827,0.0,76.4025504807073,3191.565476912846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11558566893934963,4848.319749895715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1579.1340559628898,0.0,1790.9316123563349,0.0
4,2020-02-02,geo_1,1997.1344414775583,0.0,603.9040045183359,1237.840014041616,4417.763973172207,0.0013933467516798045,76.03276212727937,0.0,70.21879037510463,4153.54624531954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027048915782622425,4601.337238399996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1221.975523519798,0.0,662.5414132492757,0.0
5,2020-02-09,geo_1,1444.4284365705182,0.0,695.152889899973,999.6838174095776,4717.646570426323,2.909549212250679,27.683677103811025,14197.625087656494,56.2834987096046,4025.3533306055156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006329820517358346,4360.504876011846,0.0,0.0,0.0,0.0,0.0,478.8961924999196,0.0,1318.3771042976134,0.0,222.5638157093152,6123.205231272002
6,2020-02-16,geo_1,1024.3134702596706,0.0,193.60924339720233,985.7008332012238,4891.590482289938,26.2367873671277,57.46274537920649,3830.7221479389445,105.67699464461455,3307.992737794847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014812621131450317,4126.351653731868,0.0,0.0,0.0,0.0,1473.578889913309,1261.417299420801,0.0,6072.951833191638,0.0,72.17674171344294,4287.379728932591
7,2020-02-23,geo_1,2272.006458590702,0.0,52.60013466919142,412.7568420506928,3767.013169155918,19.59633125296985,66.84976715955078,387.2483750169041,59.98555932654224,4519.50449245821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034663482831988394,3899.335339231062,0.0,0.0,0.0,0.0,15346.363096356443,338.7947694877583,0.0,8388.49610306499,0.0,23.132999454743835,6114.0041781078735
8,2020-03-01,geo_1,2909.695165339767,0.0,324.7576723468814,635.7122882221051,3482.914948870035,53.25672388500885,50.51672010856896,32.414210949817296,19.48441537579388,3152.3285187247657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.111710158435195e-05,0.0,0.0,0.0,0.0,0.0,12236.546417560561,923.6096067147967,0.0,2535.2805548614315,0.0,7.38607499330819,4793.949772871327
9,2020-03-08,geo_1,3168.812529108106,0.0,1051.9338367610774,164.72612321850642,2340.150332900258,161.86111249015292,23.69008577387648,18546.852571653388,0.6893563401041048,4506.053141025502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1225.9372115078029,0.0,3735.570385415059,723.6386641112599,0.0,461.30974680751564,0.0,2.355407723124677,5721.218078874141
10,2020-03-15,geo_1,3083.5114419621386,0.0,1847.2399840604762,62.36137068545582,889.6342271152394,39.22041963411153,9.060864533192701,18157.050966903556,98.5143552575806,4360.764797924934,0.0,0.0,0.0,0.0,0.0,0.0,2.165516971420825,0.0,0.0,0.0,0.0,6067.00331981578,0.0,11844.959433568938,269.665251976801,0.0,73.70207296688099,0.0,0.7508436123735318,6549.2747223874785
11,2020-03-22,geo_1,2320.86988443326,0.0,3866.690522360343,15.20419344332039,307.03349292714864,189.99877585933672,5.549800541111435,18456.088955041956,97.36087343667845,4725.407793654919,0.0,0.0,0.0,0.0,0.0,0.0,22.728026413454753,0.0,0.0,0.0,0.0,4837.825330158019,0.0,11639.16051110992,1327.5138796264143,0.0,11.466211451827746,0.0,0.0,6287.562141011219
12,2020-03-29,geo_1,2350.912660759518,0.0,5117.903918153977,3.5829738414038346,2790.452136856204,166.16943940716007,0.00017447200322934114,17583.917715044525,158.51831192158858,3665.09202269037,0.0,0.0,0.0,0.0,0.0,0.0,416.97450762258717,0.0,0.0,0.06211058978708276,0.0,1663.2519748092382,0.0,12742.837676790388,700.1869452690336,0.0,1.7605999602665137,0.0,0.0,6085.415030309029
13,2020-04-05,geo_1,2290.5544092361733,0.0,4401.591201369461,0.8189765283368338,4163.359930579224,138.83381399000544,120.96833157933857,18263.27486295763,155.59603971548714,4551.93918827834,0.0,0.0,0.0,0.0,0.0,131.14731933497586,819.4563196383984,0.0,0.0,2045.6467838949582,0.0,5226.196282607595,0.0,13940.769684421763,11.481148558285527,0.0,0.26119694277544503,0.0,0.0,2232.4728380573983
14,2020-04-12,geo_1,1674.3209817313573,117.17799114720802,5007.646191210802,0.16023480679909508,3345.320357812609,112.34260866744646,77.64726521811988,14264.953821275189,274.18847966394367,4318.609154626589,0.0,0.0,0.0,0.0,0.0,19.86139409774624,273.98287477277916,0.0,0.0,4109.9705687743435,0.0,4855.977598523471,0.0,5671.995850520893,0.13835413091363755,2090.0588935072765,0.02325624359637966,0.0,0.0,3749.209812304659
