,time,geo,x1_linear-0,x2_linear-1,x3_linear-2,x4_linear-3,x5_linear-4,x6_linear-5,x7_linear-6,x8_linear-7,x9_linear-8,x10_linear-9,x11_delayed-start-0,x12_delayed-start-1,x13_delayed-start-2,x14_delayed-start-3,x15_delayed-start-4,x16_seasonal-0,x17_seasonal-1,x18_seasonal-2,x19_seasonal-3,x20_seasonal-4,x21_on-off-0,x22_on-off-1,x23_on-off-2,x24_on-off-3,x25_on-off-4,x26_on-off-5,x27_on-off-6,x28_on-off-7,x29_on-off-8,x30_on-off-9,c1,c1_effect,c2,c2_effect,c3,c3_effect,c4,c4_effect,c5,c5_effect,c6,c6_effect,c7,c7_effect,c8,c8_effect,c9,c9_effect,c10,c10_effect,y,population
0,2020-01-05,geo_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1329.6781526651364,277.78379437666075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.15936571596706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,936.3663462890233,1322.4491062809045,30.136470574290072,14.371716575458986,18781.374273843543,1
1,2020-01-12,geo_1,271.94462624668773,0.0,3226.9103839689606,0.0,370.0272630850601,1540.3449304110957,1242.2539139770718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.99740353971949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,987.2977185017644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1001.3206123884254,1582.0950280999127,0.0,0.0,0.0,0.0,260.56146290106517,426.5726887141023,0.0,0.0,0.0,0.0,0.0,0.0,25303.8397511093,1
2,2020-01-19,geo_1,0.0,0.0,0.0,916.2493316300717,0.0,168.7537513890983,0.0,0.0,629.4468752415074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.34934797881613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.6463165878356,1618.9498378224364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,427.4313956893788,603.6699946191188,0.0,0.0,22445.194195472806,1
3,2020-01-26,geo_1,0.0,0.0,1158.0990844309274,5833.728184478518,1360.734938857939,0.0,846.5575216309018,0.0,1551.934751606018,4713.097518296055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.95525868264963,0.0,3944.491970477272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.5650401051984,277.59981949845496,0.0,0.0,1035.637190223895,1462.6513245277577,301.0589667280695,143.571362533991,30726.696947874058,1
4,2020-02-02,geo_1,1578.0780835342484,0.0,2431.4745725640723,5228.5583960389695,1799.2855689423138,0.0,1058.8710806140527,0.0,1317.5087236323254,7510.524313899978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.12993376243236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.8500217093147,450.06544110333584,0.0,0.0,0.0,0.0,207.46583200527638,339.6482994432759,0.0,0.0,864.4037796005165,1220.8149196401116,315.62204775759784,150.51631889528366,33800.204074531975,1
5,2020-02-09,geo_1,0.0,0.0,2207.764250342777,3391.49503130175,1926.1778733058518,599.6880950683828,554.7006430300896,504.07303841524737,1147.3400658615792,6445.697354090555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,738.5390196671702,0.0,279.22355468635277,0.0,0.0,5324.737262078956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.37888252815438,174.1559378627934,275.4151937581831,322.6127567709518,740.4187770408233,1045.7083959198626,121.29421521207654,57.843737174646066,51116.05284214251,1
6,2020-02-16,geo_1,0.0,0.0,0.0,3784.941106452256,2039.9501533864816,2489.345695712699,885.3771804071399,0.0,1761.561756601159,3925.654143058786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.67351411083746,1597.1656913254367,0.0,1043.2503366214355,0.0,0.0,1010.8688424056754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.29326871895555,272.24350816389125,0.0,0.0,1118.6389508381305,1579.876387751203,0.0,0.0,44934.206918548414,1
7,2020-02-23,geo_1,2553.7904717693327,0.0,0.0,985.6977373906367,1014.5329672406026,1831.1226627008082,974.9562730883341,0.0,1133.2339512935957,9143.973870390802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5069.544740290095,448.86585116578806,0.0,1214.7000368291638,0.0,0.0,5264.124746564991,0.0,0.0,1935.8134484068928,1304.3313036688771,0.0,0.0,0.0,0.0,0.0,0.0,1956.1828686780173,2775.42544044159,179.44240159173916,293.7703329727159,0.0,0.0,708.4271940523998,1000.5260370074318,0.0,0.0,60712.84132920426,1
8,2020-03-01,geo_1,6326.904147176021,0.0,1751.609368800406,3494.822927753572,1023.1216306659827,3847.1150356441153,814.7772459262058,0.0,548.6283304128731,3115.4549080595975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1013.3427717699407,1174.5904763788449,0.0,0.0,0.0,0.0,1664.5830147873535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.02965523511978,240.70649072985435,0.0,0.0,337.7589091039062,477.0237303520123,0.0,0.0,43234.87462459515,1
9,2020-03-08,geo_1,8138.732414822788,0.0,3904.4515740462157,0.0,403.21693817704386,8068.755673469936,502.5260408112236,3273.1100065359533,0.0,9149.377718059843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1223.0304132175918,0.0,0.0,898.3931171887081,0.0,0.0,0.0,0.0,3827.1973214955533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.95544906837846,145.63153223957994,1729.8165659991535,2026.2531033601229,0.0,0.0,0.0,0.0,56423.050650846286,1
