,x10_Native-Ads,x11_Paid-Search,x12_Brand-Search,x13_Shopping-Ads,x14_Retargeting,x15_Affiliate,x16_CTV,x17_Streaming-Audio,x18_Influencer,x19_Email,x1_TV,x20_Push-Notif,x21_Ghost-A,x22_Ghost-B,x2_OOH,x3_Radio,x4_Podcast,x5_Video,x6_Social-Paid,x7_Social-Organic,x8_Display,x9_Programmatic
x10_Native-Ads,1.0,0.5496258110398221,0.0862653003422475,0.025393543314690525,-0.05919639183452947,0.5481814106515249,0.6318023328414288,0.4334774942869668,-0.09519290749793911,0.005095070483497034,0.01728762297331443,-0.08034003072480075,-0.012807147533675905,-0.10043127979673895,0.004478894349388393,-0.025806680263161724,0.5383582201108539,0.6058659358850795,0.017929021558634236,0.3775594465961013,0.09800987769416622,-0.13567616961812679
x11_Paid-Search,0.5496258110398221,1.0,0.5373104354480153,0.4148182651006512,-0.004425680335576375,0.48065330621826824,0.6450374647418032,0.4813111341283859,-0.01621886031628144,0.3359365788600792,0.48435550272480604,-0.11185955703605628,0.23262431963554678,0.08138677337498054,0.30112051008818214,0.4127518793090427,0.42508652862479657,0.5935253656694447,0.2787420196643066,0.6705593850813495,0.04295025803904799,-0.08026066484212598
x12_Brand-Search,0.0862653003422475,0.5373104354480153,1.0,0.6499431320377222,0.02023338693274805,0.09974836398838118,0.14893183400209448,0.1658356722288167,0.08558286896642454,0.5295658875377386,0.7666236192308422,-0.12342921162366992,0.2182337716444319,0.08030394233128114,0.5770611228570507,0.6605735917086036,-0.014250575669893538,0.1477907182790112,0.574354189979313,0.533308413235813,-0.030271644928705363,-0.03232872903755628
x13_Shopping-Ads,0.025393543314690525,0.4148182651006512,0.6499431320377222,1.0,0.0830902943548897,-0.015234913480587555,0.11629034616823473,0.01227740701980784,0.033384362663843044,0.6115099118761477,0.7758167734770957,-0.04230545371184559,0.1101966132191997,0.12637398385800971,0.4959358938360963,0.6476287609723519,0.013783911359265778,0.05702011454292931,0.5282028352587974,0.46826105258123946,-0.08581912844179801,0.009700362649318733
x14_Retargeting,-0.05919639183452947,-0.004425680335576375,0.02023338693274805,0.0830902943548897,1.0,-0.053929083420943685,0.0097065624533763,-0.05414096405138766,-0.06400797612689146,-0.10140686235624068,0.024908896137576523,-0.0470555557617933,0.03148072555962703,-0.05777489968652099,0.020260384805838066,-0.011842000361658458,0.03138883358797257,0.024913003142969046,0.017164087489709632,0.08094625963655483,0.003897307704909654,-0.15504400845898786
x15_Affiliate,0.5481814106515249,0.48065330621826824,0.09974836398838118,-0.015234913480587555,-0.053929083420943685,1.0,0.5678365425259246,0.5406678019112203,0.004283787223205321,0.07039191556987927,0.022438802808498175,-0.02919800194642825,0.17086789456928275,0.041757659235228416,0.052284175851686564,0.03257292712329282,0.4607150621939381,0.4897178329528697,-0.09085924709039932,0.2855332295626921,0.04611852331462794,-0.10021340888162186
x16_CTV,0.6318023328414288,0.6450374647418032,0.14893183400209448,0.11629034616823473,0.0097065624533763,0.5678365425259246,1.0,0.6389519361122679,0.027597448706608702,0.0460249390143401,0.11244238977859046,-0.04858663395428338,0.18045168781497015,-0.0114026782430391,0.09585396133460691,0.04109522815507605,0.6393590531693801,0.7113205343775741,0.031026783832608183,0.5497453203932919,0.08363470286181807,-0.11666416378234452
x17_Streaming-Audio,0.4334774942869668,0.4813111341283859,0.1658356722288167,0.01227740701980784,-0.05414096405138766,0.5406678019112203,0.6389519361122679,1.0,0.08474544152180499,0.04901596896405636,0.08875033346028668,0.01982277031838829,0.1220423423537033,0.013522519985448171,0.1387179281168399,0.03231030194249456,0.4080910748530769,0.592764444866172,0.009310787018249783,0.47419039346841596,-0.019858129112606537,-0.04068036667178258
x18_Influencer,-0.09519290749793911,-0.01621886031628144,0.08558286896642454,0.033384362663843044,-0.06400797612689146,0.004283787223205321,0.027597448706608702,0.08474544152180499,1.0,0.004203215122924268,0.03845164650203517,-0.08074948759966782,-0.00786423287488355,0.13152053130791858,-0.021567987661132007,-0.02380792802855428,-0.10254485864924745,-0.05114138384786652,0.047463697458478685,-0.04557863251057875,-0.06227944233409175,0.013232821050021507
x19_Email,0.005095070483497034,0.3359365788600792,0.5295658875377386,0.6115099118761477,-0.10140686235624068,0.07039191556987927,0.0460249390143401,0.04901596896405636,0.004203215122924268,1.0,0.6338393685613551,-0.10936183618741409,-0.09642890825293235,0.14089463804335733,0.3580092880262025,0.6035682110318445,-0.06645576851726895,-0.02230520608537908,0.42152893897875554,0.3120921808399385,-0.03820907729428079,0.05388485312873998
x1_TV,0.01728762297331443,0.48435550272480604,0.7666236192308422,0.7758167734770957,0.024908896137576523,0.022438802808498175,0.11244238977859046,0.08875033346028668,0.03845164650203517,0.6338393685613551,1.0,-0.07115942244262914,0.22924696822440335,0.18003470508917696,0.6580823146670544,0.7527581030099157,-7.147901471804942e-05,0.12210816972398732,0.6474336740567863,0.5599026717092296,-0.08987575671732576,0.02954875195461764
x20_Push-Notif,-0.08034003072480075,-0.11185955703605628,-0.12342921162366992,-0.04230545371184559,-0.0470555557617933,-0.02919800194642825,-0.04858663395428338,0.01982277031838829,-0.08074948759966782,-0.10936183618741409,-0.07115942244262914,1.0,0.020049145164586033,-0.05685144470341479,-0.021639288792137168,-0.0825095404471383,0.0814450148807165,0.03291463285602889,-0.047255202916156494,-0.07188450426348433,0.025892335028747444,0.08870263390994312
x21_Ghost-A,-0.012807147533675905,0.23262431963554678,0.2182337716444319,0.1101966132191997,0.03148072555962703,0.17086789456928275,0.18045168781497015,0.1220423423537033,-0.00786423287488355,-0.09642890825293235,0.22924696822440335,0.020049145164586033,1.0,0.04530654880766729,0.4284742414651252,0.1471585138572657,0.129613729099144,0.19307722096705526,0.22890036622936952,0.32656240452259244,-0.02687020450128929,0.03771760175889811
x22_Ghost-B,-0.10043127979673895,0.08138677337498054,0.08030394233128114,0.12637398385800971,-0.05777489968652099,0.041757659235228416,-0.0114026782430391,0.013522519985448171,0.13152053130791858,0.14089463804335733,0.18003470508917696,-0.05685144470341479,0.04530654880766729,1.0,0.08768208820872761,0.14446293637205707,-0.05853911182171008,0.013467296678206293,0.09222851875842525,0.10542882670816248,0.005271427779773591,0.009763296818938625
x2_OOH,0.004478894349388393,0.30112051008818214,0.5770611228570507,0.4959358938360963,0.020260384805838066,0.052284175851686564,0.09585396133460691,0.1387179281168399,-0.021567987661132007,0.3580092880262025,0.6580823146670544,-0.021639288792137168,0.4284742414651252,0.08768208820872761,1.0,0.48073986174850997,-0.023936164943007158,0.13622335879251704,0.5522933971634141,0.5162363019655751,-0.020390208416776308,0.0021773945047684554
x3_Radio,-0.025806680263161724,0.4127518793090427,0.6605735917086036,0.6476287609723519,-0.011842000361658458,0.03257292712329282,0.04109522815507605,0.03231030194249456,-0.02380792802855428,0.6035682110318445,0.7527581030099157,-0.0825095404471383,0.1471585138572657,0.14446293637205707,0.48073986174850997,1.0,-0.05971888659605426,0.01905302630546106,0.5001710325256219,0.4586100451419465,0.014461507788471375,0.09242972301478211
x4_Podcast,0.5383582201108539,0.42508652862479657,-0.014250575669893538,0.013783911359265778,0.03138883358797257,0.4607150621939381,0.6393590531693801,0.4080910748530769,-0.10254485864924745,-0.06645576851726895,-7.147901471804942e-05,0.0814450148807165,0.129613729099144,-0.05853911182171008,-0.023936164943007158,-0.05971888659605426,1.0,0.5738271872059413,-0.08693963620530994,0.3840966693988989,0.10206080521294907,-0.00036316775046139795
x5_Video,0.6058659358850795,0.5935253656694447,0.1477907182790112,0.05702011454292931,0.024913003142969046,0.4897178329528697,0.7113205343775741,0.592764444866172,-0.05114138384786652,-0.02230520608537908,0.12210816972398732,0.03291463285602889,0.19307722096705526,0.013467296678206293,0.13622335879251704,0.01905302630546106,0.5738271872059413,1.0,0.0592637929603842,0.6052484071104776,0.07905414707862571,-0.07222963638554274
x6_Social-Paid,0.017929021558634236,0.2787420196643066,0.574354189979313,0.5282028352587974,0.017164087489709632,-0.09085924709039932,0.031026783832608183,0.009310787018249783,0.047463697458478685,0.42152893897875554,0.6474336740567863,-0.047255202916156494,0.22890036622936952,0.09222851875842525,0.5522933971634141,0.5001710325256219,-0.08693963620530994,0.0592637929603842,1.0,0.40649000710192124,-0.11674019892751056,0.02185098304773939
x7_Social-Organic,0.3775594465961013,0.6705593850813495,0.533308413235813,0.46826105258123946,0.08094625963655483,0.2855332295626921,0.5497453203932919,0.47419039346841596,-0.04557863251057875,0.3120921808399385,0.5599026717092296,-0.07188450426348433,0.32656240452259244,0.10542882670816248,0.5162363019655751,0.4586100451419465,0.3840966693988989,0.6052484071104776,0.40649000710192124,1.0,-0.01773843825458029,-0.0002457332729473406
x8_Display,0.09800987769416622,0.04295025803904799,-0.030271644928705363,-0.08581912844179801,0.003897307704909654,0.04611852331462794,0.08363470286181807,-0.019858129112606537,-0.06227944233409175,-0.03820907729428079,-0.08987575671732576,0.025892335028747444,-0.02687020450128929,0.005271427779773591,-0.020390208416776308,0.014461507788471375,0.10206080521294907,0.07905414707862571,-0.11674019892751056,-0.01773843825458029,1.0,-0.019973751053078807
x9_Programmatic,-0.13567616961812679,-0.08026066484212598,-0.03232872903755628,0.009700362649318733,-0.15504400845898786,-0.10021340888162186,-0.11666416378234452,-0.04068036667178258,0.013232821050021507,0.05388485312873998,0.02954875195461764,0.08870263390994312,0.03771760175889811,0.009763296818938625,0.0021773945047684554,0.09242972301478211,-0.00036316775046139795,-0.07222963638554274,0.02185098304773939,-0.0002457332729473406,-0.019973751053078807,1.0
